wind speed,power output
5.096144199,553.56427
6.609745979,698.286377
7.464808941,1240.730957
6.646650791,834.2042847
5.611549854,461.3158875
8.109599113,1406.458008
7.476112843,1056.004028
11.24392986,3029.52002
7.227767944,990.0944824
10.89708996,2882.340088
10.7966404,2783.055908
6.699279785,736.2938843
5.225572109,416.6203003
7.230569839,908.6245117
9.793527603,2403.175049
8.76558876,1879.503052
5.807508945,448.1326904
8.639231682,1571.380005
7.88519001,1244.483032
7.814268112,1136.083008
12.1730299,3370.302002
8.316484451,1649.311035
9.048645973,1762.432983
7.194385052,994.6207275
9.437204361,2345.725098
11.3898201,3125.26001
11.80607033,3262.573975
6.229704857,573.6651001
7.688484192,1087.619995
7.085527897,1172.348022
8.970653534,2087.363037
8.919503212,1517.69104
6.301366806,535.2813721
7.391225815,1066.057007
9.811161041,2072.745117
8.94302845,1933.592041
12.80144978,3599.738037
5.808230877,684.4155884
7.497521877,986.0258789
7.76677084,1421.634033
6.344666004,670.1096191
10.20234966,2398.321045
6.954154015,845.711792
6.217799187,586.1881104
5.265213966,289.7562866
7.227414131,927.5004883
11.18680954,2981.947021
6.550767899,718.3717041
6.043268204,621.8242188
8.130433083,1409.594971
6.482382774,683.8963013
12.01615047,3043.305908
12.91740036,3498.802979
11.90291977,3017.470947
8.793858528,1916.333008
8.544368744,1716.069946
7.145318031,1231.442993
11.03919983,3057.018066
5.404921055,399.0985107
5.87547493,440.6980896
6.723182201,772.8325806
8.380125999,1630.592041
9.154905319,2138.935059
9.673844337,2116.669922
11.16114044,3146.461914
5.382494926,349.6863098
5.928208828,484.4385071
11.56017017,3319.059082
7.811076164,1507.255981
7.31683588,1134.562012
7.865550041,1300.584961
5.779295921,511.6572876
7.896495819,1447.77002
9.040388107,1557.23999
6.503829956,608.593689
9.686019897,2015.067993
10.57277012,2417.323975
6.735259056,786.9846191
8.285796165,1498.880005
8.317079544,1631.36499
10.3608799,2558.071045
11.69563961,3121.319092
5.353608131,350.0470886
12.96154976,3532.518066
5.013791084,265.0905151
5.005455017,260.2492981
8.945508957,1870.011963
12.58119965,3489.556885
8.234448433,1417.339966
12.3830204,3491.906006
7.31394577,1272.907959
12.73929977,3392.471924
10.95538044,2922.710938
11.0546999,3053.539063
5.748679161,431.0640869
8.263669014,1482.465942
7.777595043,1152.399048
9.67886734,2424.435059
12.68828964,3525.333008
7.682783127,1209.196045
12.24147987,3104.756104
12.81140995,3438.855957
6.753359795,759.0618896
7.192208767,1035.416016
8.987955093,2117.13208
6.11867094,532.5076904
7.666975021,1303.906006
8.927089691,2158.565918
11.75949955,3152.321045
7.91597414,1151.324951
11.49083042,2889.358887
8.310287476,1553.437012
6.806330204,823.3046875
6.635716915,824.5300293
5.438775063,390.1319885
5.996606827,804.1569824
7.545691013,1121.370972
12.53796005,3461.020996
6.400411129,664.2849731
11.22556019,3067.646973
7.674675941,1058.97998
12.35898018,3586.093018
7.919127941,1430.245972
11.88465977,2939.334961
12.82390976,3420.623047
6.796634197,916.109375
11.6511898,2987.708008
10.85645962,2748.812012
11.74337006,3401.485107
7.494924068,1160.546997
8.46996212,1623.078003
6.473374844,691.0579224
12.76138973,3601.518066
8.299087524,1730.107056
10.07353973,2452.549072
9.923737526,2514.62207
9.714014053,2309.875
7.348344803,887.1370239
6.695096016,704.6575928
5.981378078,589.0731201
9.575274467,2101.324951
11.36999989,2934.285889
5.163633823,311.6176147
7.064969063,972.4821167
7.142386913,975.7498169
8.114073753,1212.258057
9.404431343,2210.989014
9.964247704,2423.780029
5.378293037,313.5664063
6.305770874,637.9968262
8.753529549,2047.16394
10.28761005,2587.62207
8.10768795,1622.717041
9.818087578,2291.316895
6.95676899,1441.369019
10.22912025,2564.092041
12.81632042,3597.499023
7.164300919,1023.495972
8.17088604,1485.074951
10.95370007,3002.601074
7.800619125,1271.416016
7.524189949,1055.295044
5.483828068,394.2543945
